entity_1,relationship,entity_2
Maritime Assistance Llc,Providing support to,Ojsc Sovfracht
Maritime Assistance Llc,Providing support to,Syrian Company For Oil Transport
Aman Holding Company,Owned or Controlled By,Samer Foz
Amer Foz,Acting for or on behalf of,Samer Foz
Husen Foz,Acting for or on behalf of,Samer Foz
Mena Crystal Sugar Company Limited,Owned or Controlled By,Aman Holding Company
Mainpharma,Owned or Controlled By,Aman Holding Company
Aman Damascus Joint Stock Company,Owned or Controlled By,Aman Holding Company
Al-Mohaimen For Transporting & Contracting,Owned or Controlled By,Aman Holding Company
Orient Club,Owned or Controlled By,Samer Foz
Four Seasons Damascus,Owned or Controlled By,Samer Foz
Lana Tv,Owned or Controlled By,Samer Foz
Foz For Trading,Owned or Controlled By,Aman Holding Company
Fatemiyoun Division,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Tadbir Kish Medical And Pharmaceutical Company,Providing support to,Global Vision Group
Promsyrioimport,Providing support to,Syrian Company For Oil Transport
Global Vision Group,Owned or Controlled By,Mhd Amer Alchwiki
Global Vision Group,Providing support to,Banias Refinery Company
Mhd Amer Alchwiki,Acting for or on behalf of,Global Vision Group
Mhd Amer Alchwiki,Providing support to,Hizballah
Mhd Amer Alchwiki,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Andrey Dogaev,Acting for or on behalf of,Promsyrioimport
Intersection Llc,Owned or Controlled By,Wassim Anwar Al-Qattan
Adam Trading And Investment Llc,Owned or Controlled By,Wassim Anwar Al-Qattan
Muruj Cham Investment And Tourism Group,Owned or Controlled By,Wassim Anwar Al-Qattan
Larosa Furniture,Owned or Controlled By,Wassim Anwar Al-Qattan
Wassim Kattan Llc,Owned or Controlled By,Wassim Anwar Al-Qattan
Hafez Al-Assad,Family member of,Bashar Al-Assad
Karam Al-Assad,Family member of,Zuhair Tawfik Al-Assad
Castle Holding Gmbh,Owned or Controlled By,Nader Kalai
Art House Gmbh,Owned or Controlled By,Castle Holding Gmbh
Mirza Company,Owned or Controlled By,Damascus Cham Holding Company
Bunyan Damascus Private Joint Stock Company,Owned or Controlled By,Damascus Cham Holding Company
Damascus Cham For Management Llc,Owned or Controlled By,Damascus Cham Holding Company
Kalai Industries,Owned or Controlled By,Nader Kalai
Telefocus Consultants Inc,Owned or Controlled By,Nader Kalai
Castle Investment Holding,Owned or Controlled By,Nader Kalai
Telefocus Sal Offshore,Owned or Controlled By,Nader Kalai
Al-Bustan Charity,Owned or Controlled By,Rami Makhluf
Samir Sakhir Darwish,Acting for or on behalf of,Al-Bustan Charity
Ihab Makhluf,Acting for or on behalf of,Rami Makhluf
Muhammad Abbas,Acting for or on behalf of,Rami Makhluf
Al-Ajnihah,Owned or Controlled By,Muhammad Abbas
Barly Off-Shore,Owned or Controlled By,Muhammad Abbas
Mb Bank,Owned or Controlled By,Bank Melli Iran
Mb Bank,Providing support to,Global Vision Group
Fadi Nabih Nasser,Acting for or on behalf of,Nasco Polymers & Chemicals Co Sal (OFF-SHORE)
Fadi Nabih Nasser,Providing support to,Syrian Company For Oil Transport
Nasco Polymers & Chemicals Co Sal (OFF-SHORE),Providing support to,Syrian Company For Oil Transport
Adnan Al-Ali,Providing support to,Abar Petroleum Service Sal
International Pipeline Construction Fze,Providing support to,Hesco Engineering & Construction Co
Sonex Investments Ltd.,Providing support to,Syrian Company For Oil Transport
Al-Layth Alzahabe Transportation And Shipping Services,Owned or Controlled By,Khiti Holding Group
Al-Amer Development And Real Estate Investment,Owned or Controlled By,Amer Taysir Khiti
Good Land Company,Owned or Controlled By,Amer Taysir Khiti
Kifah Moulhem,Leader or official of,Syrian Military Intelligence Directorate
Syrian Company For Metals And Investments Llc,Owned or Controlled By,Khodr Taher Bin Ali
Jasmine Contracting Company,Owned or Controlled By,Khodr Taher Bin Ali
Golden Star Trading Llc,Owned or Controlled By,Khodr Taher Bin Ali
Ella Tourism Company,Owned or Controlled By,Khodr Taher Bin Ali
Syrian Transport And Tourism Company,Owned or Controlled By,Syrian Ministry Of Tourism
Toumeh International Group,Owned or Controlled By,Nabil Toumeh Bin Mohammed
Khiti Holding Group,Owned or Controlled By,Amer Taysir Khiti
Al Ali And Al Hamza Llc,Owned or Controlled By,Khodr Taher Bin Ali
Syrian Hotel Management Llc,Owned or Controlled By,Khodr Taher Bin Ali
Emma Tel Plus Llc,Owned or Controlled By,Khodr Taher Bin Ali
Ella Media Services Llc,Owned or Controlled By,Khodr Taher Bin Ali
Emma Llc,Owned or Controlled By,Khodr Taher Bin Ali
Emma Tel Llc,Owned or Controlled By,Khodr Taher Bin Ali
Souran Company,Owned or Controlled By,Mohammed Hammam Mohammed Adnan Masouti
Lia Company,Owned or Controlled By,Mohammed Hammam Mohammed Adnan Masouti
Polymedics Llc,Owned or Controlled By,Mohammed Hammam Mohammed Adnan Masouti
Qahtan Khalil,Leader or official of,Syrian Air Force Intelligence
Kamal Al-Hassan,Leader or official of,Syrian Military Intelligence Directorate
Adeeb Namer Salameh,Owned or Controlled By,Syrian Air Force Intelligence
Ahmed Al-Dib,Leader or official of,Syrian General Intelligence Directorate
Asef Al-Deker,Leader or official of,Syrian Military Intelligence Directorate
Malik Ali Habib,Leader or official of,Syrian Military Intelligence Directorate
Wafiq Nasser,Leader or official of,Syrian Military Intelligence Directorate
Syrian Military Intelligence Branch 290 - Aleppo Branch,Owned or Controlled By,Syrian Military Intelligence Directorate
Syrian Military Intelligence Branch 215 - Raids,Owned or Controlled By,Syrian Military Intelligence Directorate
Syrian Military Intelligence Branch 216,Owned or Controlled By,Syrian Military Intelligence Directorate
Syrian Military Intelligence Branch 227 - Al Mintaqa Branch,Owned or Controlled By,Syrian Military Intelligence Directorate
Syrian Military Intelligence Branch 235 - Palestine,Owned or Controlled By,Syrian Military Intelligence Directorate
Syrian Military Intelligence Branch 248 - Investigation,Owned or Controlled By,Syrian Military Intelligence Directorate
Ahmad Ihsan Fayyad Al-Hayes,Acting for or on behalf of,Ahrar Al-Sharqiya
Hasan Nasrallah,Acting for or on behalf of,Hizballah
Yusuf Arbash,Acting for or on behalf of,Hesco Engineering & Construction Co
Nabil Tizini,Acting for or on behalf of,Yusuf Arbash
Nabil Tizini,Acting for or on behalf of,Hesco Engineering & Construction Co
Atiya Khouri,Providing support to,Rami Makhluf
Atiya Khouri,Providing support to,Adib Mayaleh
Atiya Khouri,Providing support to,Syriatel
Imad Mtanyus Khuri,Providing support to,Mudalal Khuri
Aous Ali,Acting for or on behalf of,Rami Makhluf
Moneta Transfer And Exchange,Owned or Controlled By,Atiya Khouri
Moneta Transfer And Exchange,Providing support to,Rami Makhluf
Moneta Transfer And Exchange,Providing support to,Adib Mayaleh
Moneta Transfer And Exchange,Providing support to,Syriatel
E.K.-Ultra Financial Group Limited,Owned or Controlled By,Nicos Nicolaou
Argus Construction,Providing support to,Wael Abdulkarim
Jonha Lang,Acting for or on behalf of,Ltd T-Rubber Co.
Salah Habib,Acting for or on behalf of,Yona Star International
Blue Energy Trade Ltd. Co.,Owned or Controlled By,Milenyum Energy S.A.
